,Data,Loja,Marca,Produto,Preço (R$)
153,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance LPX 16GB (2x8GB), 3200MHz, White, CMK16GX4M2E3200C16W",1209.99
154,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB RS, 16GB, 3200MHz, Black, CMG16GX4M1E3200C16",1209.99
155,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, 16GB, 3200MHz, Preto, KF432C16BB/16",1219.99
156,2026-03-28,Kabum,Rise Mode,"Memória RAM Gamer Rise Mode Aura, ARGB, 16GB, 3200MHz, DDR4, CL19, Preto - RM-D4AB-16G-3200ARGB",1229.9
157,2026-03-28,Kabum,Adata,"Memória ADATA Premier, 16GB, 3200MHz, DDR4 - AD4S320016G22 SGN 5271",1236.19
158,2026-03-28,Kabum,Rise Mode,Memória Rise Mode Z Series 16GB DDR4 3200Mhz - RM-D4-16G-3200Z,1240.11
159,2026-03-28,Kabum,Kingston,"Memória Kingston Fury Beast, 16GB RAM, 3200MHz, DDR4 - KF432C16BB/16",1249.9
160,2026-03-28,Kabum,Outra/Genérica,Memória Ram  8GB Ddr4 Ecc - Hp Proliant Ml30 Gen9  Dl20 G9,1259
161,2026-03-28,Kabum,Outra/Genérica,"Memória Ram  8GB Ddr4 Udimm Ecc - Dell Poweredge T130, T140, T330, T30, R230, R330",1259
162,2026-03-28,Kabum,Outra/Genérica,Memória Ram 8GB Ddr4 - Ecc Udimm 2400mhz - Para Dell Hp Ibm,1259
163,2026-03-28,Kabum,Hiksemi,Memória 16gb Ddr4 Hiksemi Future RGB 3200mhz Preta RGB,1271
164,2026-03-28,Kabum,Hiksemi,"Memoria Ram Hiksemi Future RGB White, Ddr4, 3200mhz, 16gb, Hsc416u32f4",1271
165,2026-03-28,Terabyte,Kingston,"Memória DDR4 Kingston Fury Beast, RGB, 16GB, 3600MHz, Black, KF436C18BB2A/16",1299.9
166,2026-03-28,Terabyte,Corsair,"Memória DDR4 Corsair Vengeance RGB RS, 16GB (2x8GB), 3200MHz, Preto, CMG16GX4M2E3200C16",1299.9
167,2026-03-28,Kabum,Adata,"Memória RAM Adata XPG, 16GB, 2666MHz, DDR4, CL19, Verde - AD4U266616G19-SGN",1299.99
168,2026-03-28,Kabum,Corsair,"Memória RAM Corsair Vengeance LPX 16GB, 2400MHz, DDR4, CL14, Preto - CMK16GX4M1A2400C14",1299.99
